Date,Open,High,Low,Close,Adj Close,Volume
2018-07-03,2.390000,2.400000,2.370000,2.390000,2.390000,16452
2018-07-04,2.400000,2.400000,2.300000,2.300000,2.300000,22951
2018-07-05,2.390000,2.400000,2.350000,2.380000,2.380000,5524
2018-07-06,2.380000,2.410000,2.340000,2.400000,2.400000,8609
2018-07-10,2.400000,2.400000,2.370000,2.390000,2.390000,9022
2018-07-11,2.400000,2.400000,2.380000,2.400000,2.400000,10452
2018-07-12,2.400000,2.400000,2.350000,2.350000,2.350000,20268
2018-07-13,2.350000,2.350000,2.330000,2.340000,2.340000,14439
2018-07-16,2.360000,2.390000,2.360000,2.390000,2.390000,11698
2018-07-17,2.390000,2.400000,2.370000,2.390000,2.390000,22635
2018-07-18,2.390000,2.400000,2.350000,2.380000,2.380000,23585
2018-07-19,2.380000,2.390000,2.360000,2.390000,2.390000,11930
2018-07-20,2.390000,2.390000,2.370000,2.390000,2.390000,7714
2018-07-23,2.390000,2.390000,2.360000,2.380000,2.380000,13026
2018-07-24,2.380000,2.390000,2.370000,2.390000,2.390000,25722
2018-07-25,2.390000,2.420000,2.390000,2.420000,2.420000,14233
2018-07-26,2.420000,2.420000,2.390000,2.400000,2.400000,15831
2018-07-27,2.410000,2.430000,2.360000,2.400000,2.400000,54265
2018-07-30,2.400000,2.410000,2.370000,2.390000,2.390000,13990
2018-07-31,2.390000,2.410000,2.370000,2.410000,2.410000,13962
2018-08-01,2.400000,2.410000,2.300000,2.320000,2.320000,85491
2018-08-02,2.350000,2.360000,2.320000,2.340000,2.340000,21929
2018-08-03,2.340000,2.350000,2.320000,2.340000,2.340000,27124
2018-08-06,2.340000,2.350000,2.320000,2.340000,2.340000,24848
2018-08-07,2.340000,2.340000,2.320000,2.320000,2.320000,32869
2018-08-08,2.330000,2.340000,2.310000,2.320000,2.320000,15183
2018-08-09,2.310000,2.330000,2.300000,2.330000,2.330000,28755
2018-08-10,2.320000,2.330000,2.310000,2.320000,2.320000,8174
2018-08-13,2.310000,2.340000,2.290000,2.310000,2.310000,25270
2018-08-14,2.310000,2.320000,2.290000,2.310000,2.310000,15212
2018-08-15,2.330000,2.330000,2.260000,2.300000,2.300000,47508
2018-08-16,2.300000,2.300000,2.260000,2.300000,2.300000,28329
2018-08-17,2.300000,2.300000,2.280000,2.300000,2.300000,28566
2018-08-20,2.300000,2.300000,2.260000,2.300000,2.300000,36743
2018-08-21,2.300000,2.330000,2.290000,2.320000,2.320000,20111
2018-08-22,2.320000,2.320000,2.290000,2.300000,2.300000,22517
2018-08-23,2.310000,2.310000,2.290000,2.310000,2.310000,13739
