Date,Open,High,Low,Close,Adj Close,Volume
2019-01-07,27.190001,27.270000,26.230000,26.850000,24.407351,3877800
2019-01-08,27.080000,27.150000,25.730000,25.950001,23.589228,4596300
2019-01-09,26.219999,26.370001,25.430000,26.010000,23.643768,18484600
2019-01-10,26.150000,26.150000,25.459999,25.750000,23.407421,8349100
2019-01-11,25.750000,26.000000,25.430000,25.799999,23.452873,3574100
2019-01-14,25.959999,26.480000,25.740000,26.299999,23.907385,3284700
2019-01-15,26.400000,26.450001,25.820000,26.070000,23.698309,3448900
2019-01-16,26.100000,26.330000,25.790001,26.330000,23.934656,2303900
2019-01-17,26.400000,26.850000,26.110001,26.500000,24.089191,4784300
2019-01-18,26.500000,26.870001,26.110001,26.430000,24.025560,8242400
2019-01-21,26.500000,26.500000,25.440001,26.200001,23.816484,1774100
2019-01-22,26.150000,26.420000,25.150000,25.440001,23.125624,2831800
2019-01-23,25.500000,26.670000,25.430000,26.350000,23.952837,4687000
2019-01-24,26.500000,27.299999,26.340000,26.660000,24.234634,4508300
2019-01-28,26.120001,27.730000,26.120001,27.100000,24.634607,13722200
2019-01-29,27.690001,27.690001,26.709999,26.790001,24.352810,3717300
2019-01-30,26.900000,26.900000,26.190001,26.600000,24.180094,3592300
2019-01-31,26.730000,27.070000,26.320000,26.650000,24.225544,7743600
2019-02-01,26.870001,27.020000,26.370001,26.610001,24.189184,4989800
2019-02-04,26.770000,27.150000,26.559999,26.850000,24.407351,3283500
2019-02-05,26.920000,27.150000,26.510000,26.990000,24.534615,1858200
2019-02-06,26.700001,26.900000,25.500000,25.700001,23.361971,4219900
2019-02-07,25.799999,26.150000,24.389999,25.010000,22.734743,6481400
2019-02-08,24.940001,25.350000,24.230000,25.120001,22.834736,5777800
2019-02-11,25.120001,25.700001,24.850000,25.600000,23.271069,4177600
2019-02-12,25.770000,26.230000,25.480000,25.520000,23.198347,4902300
2019-02-13,26.100000,26.580000,25.549999,26.260000,23.871025,5765700
